French,English
partie,part
histoire,history
pensais,thought
genre,kind
mois,month
car,because
eux,them
ville,city
parlé,speak
bébé,baby
vont,will
pendant,while
aucune,any
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
endroit,place
façon,way
dont,whose
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
devant,in front of
demandé,request
chambre,bedroom
droit,law
aujourd'hui,today
mari,husband
cause,cause
espère,hope
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
loin,far
fin,end
chérie,sweetheart
gros,large
aura,will have
filles,girls
bureau,office
